id,name
666,Vitae
1634,Portal Sending
1635,Lifestone Recall
1636,Lifestone Sending
1637,Summon Primary Portal III
1644,The Gift of Sarneho
1708,Wedding Bliss
1781,Exploding Magma
1782,Gertarh's Curse
1832,Torrential Acid
1833,Squall of Swords
1834,Firestorm
1835,Splinterfall
1836,Avalanche
1837,Lightning Barrage
1838,Stone Fists
1846,Curse of Black Fire
1991,Mana Blight
1992,Camping Mastery
1993,Camping Ineptitude
1994,Aura of Wound Twister
1995,Aura of Alacrity
1996,Aura of Soul Hunter
1997,Life Giver
1998,Stamina Giver
1999,Mana Giver
2000,Portal Sending
2001,Portal Sending
2002,Portal Sending
2003,Warrior's Lesser Vitality
2004,Warrior's Vitality
2005,Warrior's Greater Vitality
2006,Warrior's Ultimate Vitality
2007,Warrior's Lesser Vigor
2008,Warrior's Vigor
2009,Warrior's Greater Vigor
2010,Warrior's Ultimate Vigor
2011,Wizard's Lesser Intellect
2012,Wizard's Intellect
2013,Wizard's Greater Intellect
2014,Wizard's Ultimate Intellect
2015,Aerfalle's Ward
2016,Impulse
2017,Bunny Smite
2018,Tormenter of Flesh
2019,The sundering of the crystal
2020,Recall Asmolum 1
2021,Thaumaturgic Shroud
2022,Soul Shroud
2023,Recall the Sanctuary
2024,Recall Asmolum 2
2025,RecallAsmolum 3
2026,Nerve Burn
2027,Martyr
2028,The Path to Kelderam's Ward
2029,Stamina Blight
2030,Flaming Blaze
2031,Steel Thorns
2032,Electric Blaze
2033,Acidic Spray
2034,Exploding Fury
2035,Electric Discharge
2036,Fuming Acid
2037,Flaming Irruption
2038,Exploding Ice
2039,Sparking Fury
2040,The Path to Kelderam's Ward
2041,Aerlinthe Recall
2042,Demon's Tongues
2043,Weight of Eternity
2044,Item Befoulment
2045,Demon Fists
2046,Portal to Teth
2047,Demonskin
2048,Boon of the Demon
2049,Bile of the Hopeslayer
2050,Young Love
2051,Young Love
2346,Malediction
2347,Concentration
2348,Brilliance
2349,Hieromancer's Ward
2350,Greater Decay Durance
2351,Greater Consumption Durance
2352,Greater Stasis Durance
2353,Greater Stimulation Durance
2354,Lesser Piercing Durance
2355,Lesser Slashing Durance
2356,Lesser Bludgeoning Durance
2357,Fauna Perlustration
2358,Lyceum Recall
2359,Portal Sending
2360,Portal Sending
2361,Portal Sending
2362,Portal Sending
2363,Portal Sending
2364,Egress
2365,something you're gonna fear for a long time
2366,Bovine Intervention
2367,Groovy Portal Sending
2368,a powerful force
2369,Expulsion
2370,Gift of Rotting Flesh
2371,Curse of Mortal Flesh
2372,Price of Immortality
2373,Enervation of the Heart
2374,Enervation of the Limb
2375,Enervation of the Mind
2376,Glimpse of Annihilation
2377,Vision of Annihilation
2378,Beast Murmur
2379,Beast Whisper
2380,Grip of Instrumentality
2381,Touch of Instrumentality
2382,Unnatural Persistence
2383,Dark Flame
2384,Arcane Restoration
2385,Vigilance
2386,Indomitability
2387,Determination
2388,Caution
2389,Vigor
2390,Haste
2391,Prowess
2392,Serenity
2393,Force Armor
2394,Acid Shield
2395,Electric Shield
2396,Flame Shield
2397,Ice Shield
2398,Bludgeon Shield
2399,Piercing Shield
2400,Slashing Shield
2401,Into the Garden
2402,Essence Lull
2403,Balanced Breakfast
2404,Collector Acid Protection
2405,Collector Blade Protection
2406,Collector Bludgeoning Protection
2407,Collector Cold Protection
2408,Collector Fire Protection
2409,Collector Lightning Protection
2410,Collector Piercing Protection
2411,Discipline
2412,Enduring Coordination
2413,Enduring Focus
2414,Enduring Stoicism
2415,Eye of the Hunter
2416,High Tension String
2417,Obedience
2418,Occult Potence
2419,Panic Attack
2420,Panoply of the Queenslayer
2421,Paralyzing Fear
2422,Send to Dryreach
2423,Precise
2424,Rabbit's Eye
2425,Stone Wall
2426,Strong Pull
2427,Sugar Rush
2428,Timaru's Shelter
2429,Timaru's Shelter
2430,Timaru's Shelter
2431,Vivification
2432,Acid Ward
2433,Flame Ward
2434,Frost Ward
2435,Lightning Ward
2436,Laying on of Hands
2437,Greater Rockslide
2438,Lesser Rockslide
2439,Rockslide
2440,Greater Stone Cliffs
2441,Lesser Stone Cliffs
2442,Stone Cliffs
2443,Greater Strength of Earth
2444,Lesser Strength of Earth
2445,Strength of Earth
2446,Greater Growth
2447,Lesser Growth
2448,Growth
2449,Greater Hunter's Acumen
2450,Lesser Hunter's Acumen
2451,Hunter's Acumen
2452,Greater Thorns
2453,Lesser Thorns
2454,Thorns
2455,Greater Cascade
2456,Lesser Cascade
2457,Cascade
2458,Greater Cascade
2459,Lesser Cascade
2460,Cascade
2461,Greater Cascade
2462,Lesser Cascade
2463,Cascade
2464,Greater Cascade
2465,Lesser Cascade
2466,Cascade
2467,Greater Cascade
2468,Lesser Cascade
2469,Cascade
2470,Greater Still Water
2471,Lesser Still Water
2472,Still Water
2473,Greater Torrent
2474,Lesser Torrent
2475,Torrent
2476,Safe Harbor
2477,Free Trip to the Aluvian Casino
2478,Cragstone Reinforcements camp recall
2479,Advance Camp Recall
2480,Free Trip to the Gharun'dim Casino
2481,Zaikhal Reinforcement Camp Recall
2482,Zaikhal Advance Camp Recall
2483,Free Trip to the Sho Casino
2484,Hebian-to Reinforcements Camp Portal
2485,Hebian-to Advance Camp Recall
2486,Blood Thirst
2487,Spirit Strike
2488,Weapon Familiarity
2489,Free Ride to the Shoushi Southeast Outpost Portal
2490,Free Ride to the Holtburg South Outpost
2491,Free Ride to the Holtburg West Outpost
2492,Free Ride to the Shoushi West Outpost
2493,Free Ride to the Yaraq East Outpost
2494,Free Ride to the Yaraq North Outpost
2495,Send Reinforcements
2496,Send Reinforcements
2497,Send Reinforcements
2498,Send Reinforcements
2499,Send Reinforcements
2500,Send Reinforcements
2501,Major Alchemical Prowess
2502,Major Arcane Prowess
2503,Major Armor Tinkering Expertise
2504,Major Light Weapon Aptitude
2505,Major Missile Weapon Aptitude
2506,Major Cooking Prowess
2507,Major Creature Enchantment Aptitude
2508,Major Missile Weapon Aptitude
2509,Major Finesse Weapon Aptitude
2510,Major Deception Prowess
2511,Major Fealty
2512,Major Fletching Prowess
2513,Major Healing Prowess
2514,Major Impregnability
2515,Major Invulnerability
2516,Major Item Enchantment Aptitude
2517,Major Item Tinkering Expertise
2518,Major Jumping Prowess
2519,Major Leadership
2520,Major Life Magic Aptitude
2521,Major Lockpick Prowess
2522,Major Light Weapon Aptitude
2523,Major Magic Item Tinkering Expertise
2524,Major Magic Resistance
2525,Major Mana Conversion Prowess
2526,Major Monster Attunement
2527,Major Person Attunement
2528,Major Light Weapon Aptitude
2529,Major Sprint
2530,Major Light Weapon Aptitude
2531,Major Heavy Weapon Aptitude
2532,Major Missile Weapon Aptitude
2533,Major Light Weapon Aptitude
2534,Major War Magic Aptitude
2535,Major Weapon Tinkering Expertise
2536,Minor Alchemical Prowess
2537,Minor Arcane Prowess
2538,Minor Armor Tinkering Expertise
2539,Minor Light Weapon Aptitude
2540,Minor Missile Weapon Aptitude
2541,Minor Cooking Prowess
2542,Minor Creature Enchantment Aptitude
2543,Minor Missile Weapon Aptitude
2544,Minor Finesse Weapon Aptitude
2545,Minor Deception Prowess
2546,Minor Fealty
2547,Minor Fletching Prowess
2548,Minor Healing Prowess
2549,Minor Impregnability
2550,Minor Invulnerability
2551,Minor Item Enchantment Aptitude
2552,Minor Item Tinkering Expertise
2553,Minor Jumping Prowess
2554,Minor Leadership
2555,Minor Life Magic Aptitude
2556,Minor Lockpick Prowess
2557,Minor Light Weapon Aptitude
2558,Minor Magic Item Tinkering Expertise
2559,Minor Magic Resistance
2560,Minor Mana Conversion Prowess
2561,Minor Monster Attunement
2562,Minor Person Attunement
2563,Minor Light Weapon Aptitude
2564,Minor Sprint
2565,Minor Light Weapon Aptitude
2566,Minor Heavy Weapon Aptitude
2567,Minor Missile Weapon Aptitude
2568,Minor Light Weapon Aptitude
2569,Minor War Magic Aptitude
2570,Minor Weapon Tinkering Expertise
2571,Major Armor
2572,Major Coordination
2573,Major Endurance
2574,Major Focus
2575,Major Quickness
2576,Major Strength
2577,Major Willpower
2578,Minor Armor
2579,Minor Coordination
2580,Minor Endurance
2581,Minor Focus
2582,Minor Quickness
2583,Minor Strength
2584,Minor Willpower
2585,Major Acid Bane
2586,Major Blood Thirst
2587,Major Bludgeoning Bane
2588,Major Defender
2589,Major Flame Bane
2590,Major Frost Bane
2591,Major Heart Thirst
2592,Major Impenetrability
2593,Major Piercing Bane
2594,Major Slashing Bane
2595,Major Storm Bane
2596,Major Swift Hunter
2597,Minor Acid Bane
2598,Minor Blood Thirst
