Id	Name	Family	Family Override	Saying	Duration	Difficulty	isFellowship	isOffensive	isUntargeted	IsInstantCast	School.Id	Requires TurnTo
1	Strength Other I	1	1	malarcazael	1800	1	False	False	False	True	4	True
2	Strength Self I	1	1	malarcazael	1800	1	False	False	True	True	4	False
3	Weakness Other I	2	2	equincazael	60	1	False	True	False	True	4	True
4	Weakness Self I	2	2	equincazael	60	15	False	False	True	True	4	False
5	Heal Other I	79	79	malarzhapaj	-1	1	False	False	False	True	2	True
6	Heal Self I	67	67	malarzhapaj	-1	1	False	False	True	True	2	False
7	Harm Other I	80	80	equinzhapaj	-1	1	False	True	False	True	2	True
8	Harm Self I	80	80	equinzhapaj	-1	15	False	False	True	True	2	False
9	Infuse Mana Other I	92	92	puishzhaloi	-1	1	False	False	False	True	2	True
15	Vulnerability Other I	38	38	equinozael	60	1	False	True	False	True	4	True
16	Vulnerability Self I	38	38	equinozael	60	1	False	False	True	True	4	False
17	Invulnerability Other I	37	37	malarozael	1800	1	False	False	False	True	4	True
18	Invulnerability Self I	37	37	malarozael	1800	1	False	False	True	True	4	False
19	Fire Protection Other I	109	109	helkasquatak	1800	1	False	False	False	True	2	True
20	Fire Protection Self I	109	109	helkasquatak	1800	1	False	False	True	True	2	False
21	Fire Vulnerability Other I	110	110	cruathquatak	60	25	False	True	False	True	2	True
22	Fire Vulnerability Self I	110	110	cruathquatak	60	25	False	False	True	True	2	False
23	Armor Other I	115	115	helkasquasith	1800	1	False	False	False	True	2	True
24	Armor Self I	115	115	helkasquasith	1800	1	False	False	True	True	2	False
25	Imperil Other I	116	116	cruathquasith	60	25	False	True	False	True	2	True
26	Imperil Self I	116	116	cruathquasith	60	25	False	False	True	True	2	False
27	Flame Bolt I	121	121	zojakquaguz	-1	1	False	True	False	True	1	True
28	Frost Bolt I	119	119	zojakquapaj	-1	1	False	True	False	True	1	True
35	Aura of Blood Drinker Self I	154	154	malaraeril	1800	1	False	False	True	True	3	False
36	Blood Loather I	155	155	equinaeril	60	25	False	True	False	True	3	True
37	Blade Bane I	174	174	malarquaguz	1800	1	False	False	False	True	3	True
38	Blade Lure I	175	175	equinquaguz	60	25	False	True	False	True	3	True
47	Primary Portal Tie	200	200	quavoshthiloi	-1	150	False	False	False	False	3	True
